"X","classe","semaine_et_FB","delta_to_hours","mean_essai_sem","moy_norm_essai","entropie_essai_sem","entropie_norm_essai","sigma_essai_sem","solidite_essai_sem","solidite_norm_essai"
242,"3","data41FB1_2015_T3",4.16061722222,12.2471167798,0.804193158851,0.00499641030678,0.661317280294,7668.97833066,0.301640060071,0.984861655844
183,"1","data22FB1_2016_Evian",63.2328555556,18.4585106856,1.05842221316,0.490020335028,0.967519596657,16.9417802937,0.92992388176,0.993552641009
58,"1","data10FB1_2016_Evian",108.620511111,16.6236144781,0.788796016759,0.464986250611,0.95528743967,11.2753167662,0.932530839977,1.0048467524
40,"1","data10FB1_2016_Evian",37.5988522222,17.7755005244,0.843453391437,0.467311400351,0.960064325738,12.319767976,0.94669762886,1.02011214759
239,"3","data13FB1_2016_T3",156.88066,22.3543975653,1.28171550249,0.378833083086,0.841395215409,15.5770724585,0.893495855363,0.96514700215
281,"3","data41FB1_2015_T3",159.932384444,15.7154714667,1.0319387713,0.0107782527257,1.42659316214,7506.7375,0.308083306484,1.00589900191
101,"1","data11FB1_2016_Evian",118.0143075,20.9306804935,0.959750571332,0.503368369216,0.975131683457,18.2321272257,0.931177388616,1.00004174328
344,"3","data46FB1_2015_T3",83.0504338889,21.9955591542,0.751556936968,0.0531703923089,1.40549531835,7658.71145374,0.326039035863,1.20501537725
112,"1","data14FB1_2016_Evian",0,16.6932900177,1,0.452065074441,1,16.4366506424,0.916158523373,1
299,"3","data43FB1_2015_T3",70.6813902778,17.7782391017,0.506346670875,0.0131357486333,0.201687390195,7884.35,0.317496593949,1.11298782431
148,"1","data21FB1_2016_Evian",23.8324305556,16.8505995452,1.13266671466,0.469502319888,1.01602312908,16.0792711244,0.917649680193,1.00534980932
305,"3","data43FB1_2015_T3",94.4104911111,20.5544792048,0.585417490303,0.0720775024279,1.10668403928,9467.91081594,0.385459598222,1.35123288804
85,"1","data11FB1_2016_Evian",55.0412327778,21.0995115723,0.967492112479,0.530202146798,1.02711442275,18.4640399242,0.941153877278,1.01075603385
1,"1","data01FB1_2016_Evian",0.269853055556,23.7288213317,1,0.159382283903,1,3734.53417961,0.578943669511,1
109,"1","data11FB1_2016_Evian",149.573119722,20.9608583803,0.961134341156,0.527745505691,1.02235538598,18.4323504979,0.9419713611,1.01163397393
212,"3","data13FB1_2016_T3",35.7203266667,18.5175597299,1.06172592237,0.460650015207,1.02311212003,12.5533960388,0.930870963917,1.00551929236
123,"1","data14FB1_2016_Evian",39.5772866667,19.4089966117,1.1626825264,0.506296068071,1.11996280336,16.6367845787,0.93863202561,1.02453014589
223,"3","data13FB1_2016_T3",79.1298666667,23.4305479807,1.34341784389,0.436157247809,0.968713235084,15.1400898796,0.918290427059,0.991929898118
358,"3","data46FB1_2015_T3",140.968077222,22.0319272235,0.752799582111,0.0493389173828,1.30421489071,6663.56190476,0.288496938621,1.0662626529
185,"1","data22FB1_2016_Evian",71.1004808333,18.4527415741,1.0580914088,0.497253281326,0.98180067192,16.6972340305,0.940360470581,1.00470333903
22,"1","data01FB1_2016_Evian",84.4436919444,14.9464248398,0.629884840503,0.00756989366226,0.0474952013291,7021.80254777,0.280833569238,0.485079264231
146,"1","data21FB1_2016_Evian",15.9470377778,16.8301098534,1.13128943477,0.46261473032,1.00111809026,16.7116455922,0.908890278475,0.995753268244
205,"3","data13FB1_2016_T3",8.09899027778,17.7669925183,1.01869127435,0.457961939143,1.01714185386,14.2501665236,0.929616537453,1.00416427103
302,"3","data43FB1_2015_T3",82.4043622222,13.0895887752,0.372807996424,0.00447452874654,0.0687022910102,6684.85714286,0.268511597838,0.94127037825
178,"1","data22FB1_2016_Evian",43.5243111111,17.9285313586,1.02803287668,0.459196207066,0.906658963493,16.2185317895,0.923612150848,0.986809038613
